92,muJe sonA cAhie,mEM sonA,mEM sonA
93,wuma keloge,#wuma KelegA,#wuma KelegA
94,rAma paDegA,rAma paDegA,rAma paDegA
95,mEM Gara jA sakawA hUzgayA hUzgA,mEM Gara jA hUz,mEM Gara jA hUz
96,vaha Gara jA sakawA hE,usa Gara jA hE,usa Gara jA hE
97,somavAra pahalA xina hE,somavAra pahalA xina hE,somavAra pahalA xina hE
98,hAra mahilA ke gale meM hE,hAra mahilA ko gale meM hE,hAra mahilA ko gale meM hE
99,kyA wuma nahIM keloge,#wuma nahIM KelegA,#wuma nahIM KelegA
100,mEM rUsI nahIM bola sakawA hUz,mEM rUsI ko nahIM bola hUz,mEM rUsI ko nahIM bola hUz
101,Apa kahAz raha sakawe ho,#wuma kahAz raha hE,#wuma kahAz raha hE
102,rAma ko Pala KAnA hogA,rAma Pala KAnA hogA,rAma Pala KAnA hogA
103,betoM ko Kewa meM bIja bonA cAhie,bete Kewa meM bIja bone,bete Kewa meM bIja bone
104,ladake ko nayI kiwAba paDanI cAhie,ladakA nayI kiwAba paDanA,ladakA nayI kiwAba paDanA
105,ladake ko vixyAlaya meM paDanA cAhie,ladakA vixyAlaya meM paDanA,ladakA vixyAlaya meM paDanA
106,muJe kala AnA hogA,mEM kala ko AnA hoUzgA,mEM kala ko AnA hoUzgA
107,mEM rUsI bola sakawA hUz,mEM rUsI ko bola hUz,mEM rUsI ko bola hUz
108,kyA mEM ApakI sahAyawA kara sakawA hUz,mEM #wuma #sahAyawAkara hUz,mEM #wuma #sahAyawAkara hUz
109,Apa kahAz raha sakawe ho,#wuma kahAz raha hE,#wuma kahAz raha hE
110,vaha Gara nahIM jA sakawA hE,usa Gara nahIM,usa Gara nahIM
111,mEM Kela Kela sakawA hUz,mEM Kela Kela hUz,mEM Kela Kela hUz
112,mEM JUTa bola sakawA hUz,mEM JUTa bola hUz,mEM JUTa bola hUz
113,kyA mEM ApakI sahAyawA kara sakawA hUz,mEM #wuma #sahAyawAkara hUz,mEM #wuma #sahAyawAkara hUz
114,kyA mEM jA sakawA hUz,mEM jA hUz,mEM jA hUz
115,kyA mEM kala Gara jA sakawA hUz,mEM kala Gara meM jA hUz,mEM kala Gara meM jA hUz
116,vaha Gara nahIM jA sakawA hE,usa Gara nahIM,usa Gara nahIM
117,muJe xOdZanA cAhie,mEM #xOdZa,mEM #xOdZa
118,kyA muJe jAnA cAhie,mEM jAnA,mEM jAnA
119,use Gara nahIM jAnA cAhie,usa Gara nahIM,usa Gara nahIM
120,muJe sonA cAhie,mEM sonA,mEM sonA
121,amiwa ko Gara jAnA cAhie,amit Gara jAnA,amit Gara jAnA
122,vaha so sakawA hE,usa so hE,usa so hE
123,mEM kala Kela KelUMgA,mEM kala meM Kela KelUzgA,mEM kala meM Kela KelUzgA
124,kyA wuma keloge,#wuma KelegA,#wuma KelegA
125,Apa kala KeleMge,#wuma kala ko KelegA,#wuma kala ko KelegA
126,rAma dAktara nahIM hE,rAma dAktara nahIM hE,rAma dAktara nahIM hE
127,rAma xillI meM nahIM hE,rAma xillI meM nahIM hE,rAma xillI meM nahIM hE
128,rAvaNa rAma ke xvArA laMkA meM mArA gayA,rAvaNa ko rAma ne laMkA meM mArA,rAvaNa ko rAma ne laMkA meM mArA
129,prawyeka baccA Kela rahA hE,prawyeka baccA Kela rahA hE,prawyeka baccA Kela rahA hE
130,hara baccA Kela rahA hE,hara baccA Kela rahA hE,hara baccA Kela rahA hE
131,saBI bacce Kela rahe hEM,saBI bacce Kela rahe hEM,saBI bacce Kela rahe hEM
133,kuCa bacce koI Kela Kela sakawe hEM,kuCa bacce koI Kela Kela hEM,kuCa bacce koI Kela Kela hEM
134,bacce koI Kela nahIM KeleMge,bacce koI Kela nahIM KeleMge,bacce koI Kela nahIM KeleMge
136,mEM soUMgA,mEM soUzgA,mEM soUzgA
137,kyA Apa AeMge,#wuma AegA,#wuma AegA
138,Apa kala KeleMge,#wuma kala ko KelegA,#wuma kala ko KelegA
139,kyA wuma nahIM keloge,#wuma nahIM KelegA,#wuma nahIM KelegA
141,vaha xillI meM rahawA WA,usa xillI meM rahawA,usa xillI meM rahawA
142,mEM so rahA WA,mEM so rahA,mEM so rahA
143,mere xvArA KAnA KAyA gayA WA,mEMne KAnA KAyA,mEMne KAnA KAyA
146,mEM so cukA WA,mEM so,mEM so
147,vaha so cukA hogA,usa so hogA,usa so hogA
148,mEM so jAwA WA,mEM so,mEM so
150,rAma ne KAnA nahIM KAyA WA,rAma KAnA nahIM,rAma KAnA nahIM
151,rAma Sahara meM WA,rAma Sahara meM #hE,rAma Sahara meM #hE
153,rAma ne kAma kiyA WA,rAma kAma,rAma kAma
154,rAma ne KAnA KAyA hE,rAma ne KAnA KAyA hE,rAma ne KAnA KAyA hE
155,BEravanAWa mAz vERNo ke xvArA katarA  meM mArA gayA hE,BEravanAWa ko #mAzvERNo ne katarA meM mArA hE,BEravanAWa ko #mAzvERNo ne katarA meM mArA hE
156,rAvaNa rAma ke xvArA laMkA meM mArA gayA hE,rAvaNa ko rAma ne laMkA meM mArA hE,rAvaNa ko rAma ne laMkA meM mArA hE
157,usake xvArA KAnA KAyA gayA WA,usane KAnA KAyA,usane KAnA KAyA
158,mEMne Pala KA liyA hogA,mEM Pala KA hoUzgA,mEM Pala KA hoUzgA
159,rAma sonA cAhawA hE,rAma sonA hE,rAma sonA hE
160,KAnA mere xvArA KAyA gayA,KAnA mEMne KAyA,KAnA mEMne KAyA
161,kyA rAvaNa rAma ke xvArA mArA gayA WA,kyA rAvaNa ko rAma ne mArA,kyA rAvaNa ko rAma ne mArA
162,mere xvArA KAnA KAyA gayA WA,mEMne KAnA KAyA,mEMne KAnA KAyA
164,usane eka Kewa xeKA,usane eka Kewa xeKA,usane eka Kewa xeKA
167,vaha bujurga AxamI kI sahAyawA karawA hE,usa #bujurga AxamI #sahAyawAkara hE,usa #bujurga AxamI #sahAyawAkara hE
168,rajawa ne rAXA ko bawAyA,rajawa ne rAXA ko bawAI,rajawa ne rAXA ko bawAI
169,mEM Sivama ke lie Sahara se AyA,mEM Sivama ke lie Sahara se AyA,mEM Sivama ke lie Sahara se AyA
170,mEMne naye ladake ko xeKA,mEMne nayA ladakA xeKA,mEMne nayA ladakA xeKA
171,mEMne aMXe ladake ko xeKA,mEM aMXA ladakA,mEM aMXA ladakA
172,Sivama ne aMXe ladake ko XIre se XakkA mArA,Sivama ne aMXA ladakA XIrese #XakkAmAra,Sivama ne aMXA ladakA XIrese #XakkAmAra
173,rAma dAktara hE,rAma dAktara hE,rAma dAktara hE
174,mEMne kiwAba paDI,mEMne kiwAba paDI,mEMne kiwAba paDI
175,mEMne acCI kiwAba paDI,mEMne acCI kiwAba paDI,mEMne acCI kiwAba paDI
176,XarAwala SikRA meM hE,XarAwala SikRA meM hE,XarAwala SikRA meM hE
178,jaMgala meM Sera WA,jaMgala meM Sera #hE,jaMgala meM Sera #hE
179,kyA rAma dAktara hE ,rAma dAktara hE,rAma dAktara hE
180,muJe sonA cAhie,mEM sonA,mEM sonA
181,mEM kala AUMgA,mEM kala ko AUzgA,mEM kala ko AUzgA
182,mEM saBA ke lie Sahara AyA,mEMne saBA ke lie Sahara AyA,mEMne saBA ke lie Sahara AyA
184,rAma dAktara hE,rAma dAktara hE,rAma dAktara hE
185,SaharI rAjA jaMgala AyA,#SaharI rAjA ne jaMgala AyA,#SaharI rAjA ne jaMgala AyA
186,Sera rAjA ko xeKA,Sera ne rAjA xeKA,Sera ne rAjA xeKA
187,Sera ne jAnavaroM ko AxeSa xiyA,Sera ne jAnavara #AxeSaxe,Sera ne jAnavara #AxeSaxe
188,mEM so rahA WA,mEM so rahA,mEM so rahA
189,rAju ko buKAra hE,rAju buKAra hE,rAju buKAra hE
191,kyA wuma ko buKAra hE,#wuma buKAra hE,#wuma buKAra hE
193,mEM Delhi meM hUz,mEM Delhi meM hUz,mEM Delhi meM hUz
194,kyA wuma Delhi meM ho,kyA #wuma Delhi meM hE,kyA #wuma Delhi meM hE
195,bacce Pala KAwe hEM,bacce Pala KAwe hEM,bacce Pala KAwe hEM
196,somavAra pahalA xina hE,somavAra pahalA xina hE,somavAra pahalA xina hE
197,muJe xOdZanA cAhie,mEM #xOdZa,mEM #xOdZa
198,muJe sonA cAhie,mEM sonA,mEM sonA
199,ladakA vixyAlaya meM paDawA hE,ladakA vixyAlaya meM paDawA hE,ladakA vixyAlaya meM paDawA hE
200,KAnA mere xvArA KAyA gayA WA,KAnA mEMne KAyA,KAnA mEMne KAyA
201,ladakA vixyAlaya ke bagIce meM kiwAba paDa rahA hE,ladakA vixyAlaya ko bagIce meM kiwAba paDa rahA hE,ladakA vixyAlaya ko bagIce meM kiwAba paDa rahA hE
202,rAjA ne senA ko AxeSa xiyA,rAjA ne senA #AxeSaxe,rAjA ne senA #AxeSaxe
203,haMsa cale gae,haMsa #calejA,haMsa #calejA
204,haMsa sabaka sIKa gaye,haMsa ne sabaka sIKA,haMsa ne sabaka sIKA
205,rAjA rAjamahala se AyA,rAjA rAjamahala se AyA,rAjA rAjamahala se AyA
206,use Gara nahIM jAnA cAhie,usa Gara jAnA,usa Gara jAnA
207,haMsoM ne cidiyA ko mukkA mArA,haMsa ne cidiyA #mukkAmAra,haMsa ne cidiyA #mukkAmAra
208,rAjamahala mEM wAlAba hE,rAjamahala meM wAlAba hE,rAjamahala meM wAlAba hE
212,haMsoM ne bAwacIwa kI,haMsa #bAwacIwakara,haMsa #bAwacIwakara
213,Apa kala KeleMge,#wuma kala ko KelegA,#wuma kala ko KelegA
214,ladakA Sahara se AyA hE,ladakA Sahara se AyA hE,ladakA Sahara se AyA hE
215,wAlAba meM haMsa hE,wAlAba meM haMsa hEM,wAlAba meM haMsa hEM
216,ladake ne nayI kiwAba paDI,ladakA ne nayI kiwAba paDI,ladakA ne nayI kiwAba paDI
217,somavAra pahalA xina hE,somavAra pahalA xina hE,somavAra pahalA xina hE
218,rAma Sahara meM WA,rAma Sahara meM #hE,rAma Sahara meM #hE
219,ayAn kA miwra vixyAlaya meM paDawA WA,ayAn ko miwra vixyAlaya meM paDawA,ayAn ko miwra vixyAlaya meM paDawA
220,vaha rAmapura meM rahawA WA,usa rAmapura meM rahawA,usa rAmapura meM rahawA
221,koI Pala KawIM hEM,#koI Pala KAwI hE,#koI Pala KAwI hE
222,ayAn ne use pAnI xeyA,ayAn ne usako pAnI xiyA,ayAn ne usako pAnI xiyA
223,mEMne nayI kiwAba paDI,mEMne nayI kiwAba paDI,mEMne nayI kiwAba paDI
224,mEM Sahara jA rahA hUz,mEM Sahara jA rahA hUz,mEM Sahara jA rahA hUz
225,mEM saBA ke lie Sahara se AyA,mEM saBA ke lie Sahara se AyA,mEM saBA ke lie Sahara se AyA
226,mEM Aja AyA,mEM Aja AyA,mEM Aja AyA
227,mEM usase kiwAba le rahA hUz,mEM usase kiwAba le rahA hUz,mEM usase kiwAba le rahA hUz
228,mEM usake lie Sahara se AyA,mEM #vaha Sahara se AyA,mEM #vaha Sahara se AyA
230,mEM kala AUzgA,mEM kala ko AUzgA,mEM kala ko AUzgA
231,vaha acCA dAktara hE,usa acCA dAktara hE,usa acCA dAktara hE
233,ladakA nayI kiwAba paDa rahA hE,ladakA nayI kiwAba paDa rahA hE,ladakA nayI kiwAba paDa rahA hE
234,mEM Gara A rahA hUz,mEM Gara A rahA hUz,mEM Gara A rahA hUz
235,kyA mEM ApakI sahAyawA kara sakawA hUz,mEM #wuma #sahAyawAkara hUz,mEM #wuma #sahAyawAkara hUz
236,ayAn ne KAnA nahIM KAyA WA,ayAn KAnA nahIM,ayAn KAnA nahIM
237,vaha Sahara meM vixyAlaya meM gayA,usane Sahara meM vixyAlaya jAyA,usane Sahara meM vixyAlaya jAyA
238,rAma Delhi meM rahawA hE,rAma Delhi meM rahawA hE,rAma Delhi meM rahawA hE
239,baccA bagIcA meM Kela rahA hE,baccA bagIce meM Kela rahA hE,baccA bagIce meM Kela rahA hE
240,sIwA ne xillI meM cidayAGara xeKA,sIwA ne xillI meM #cidiyAGara xeKI,sIwA ne xillI meM #cidiyAGara xeKI
241,aMSa dAktara hE,aMSa dAktara hE,aMSa dAktara hE
242,ladakA vixyAlaya meM bagIce meM kiwAba paDa rahA hE,ladakA vixyAlaya meM bagIce meM kiwAba paDa rahA hE,ladakA vixyAlaya meM bagIce meM kiwAba paDa rahA hE
244,rAju ko Pala KAnA hogA,rAju Pala,rAju Pala
245,mEM so rahA WA,mEM so rahA,mEM so rahA
246,aMSa ne sIwA ko kiwAba xiyA,aMSa ne sIwA ko kiwAba xI,aMSa ne sIwA ko kiwAba xI
247,ayAn ko vixyAlaya meM paDanA cAhie,ayAn vixyAlaya meM paDanA,ayAn vixyAlaya meM paDanA
248,ayAn paDegA,ayAn paDegA,ayAn paDegA
249,usane calaciwra xeKA,usane calaciwra xeKA,usane calaciwra xeKA
250,unhoMne bagZIce meM KAnA KAyA,unhoMne bagIce meM KAnA KAyA,unhoMne bagIce meM KAnA KAyA
251,muJe Gara jAnA cAhie,mEM Gara jAnA,mEM Gara jAnA
252,riweSa vixyAlaya meM paDawA hE,riweSa vixyAlaya meM paDawA hE,riweSa vixyAlaya meM paDawA hE
253,jAnavara GAsa KawA hEM,jAnavara GAsa KAwA hE,jAnavara GAsa KAwA hE
254,riweSa bagIce meM hE,riweSa bagIce meM hE,riweSa bagIce meM hE
255,usane KAnA nahIM KAyA,usane KAnA nahIM KAyA,usane KAnA nahIM KAyA
256,vaha KAnA KA rahA hE,usa KAnA KA rahA hE,usa KAnA KA rahA hE
257,merA xoswa bagIce meM Kela rahA hE,muJe xoswa bagIce meM Kela rahA hE,muJe xoswa bagIce meM Kela rahA hE
258,jAnavara bagIce meM Aye,jAnavara ne bagIcA AyA,jAnavara ne bagIcA AyA
259,jAnavara Pala KAwe hEM,jAnavara Pala KAwA hE,jAnavara Pala KAwA hE
260,mEM XIre calawA hUz,mEM XIre calawA hUz,mEM XIre calawA hUz
262,kyA riweSa jA rahA hE,riweSa jA rahA hE,riweSa jA rahA hE
263,Apa kahAz rahawe hEM,#wuma kahAz meM rahawA hE,#wuma kahAz meM rahawA hE
264,riweSa vixyAlaya meM bagIce meM kiwAba paDa rahA hE,riweSa vixyAlaya meM bagIce meM kiwAba paDa rahA hE,riweSa vixyAlaya meM bagIce meM kiwAba paDa rahA hE
266,jAnavara kya kAwA hE,jAnavara kyA KAwe hEM,jAnavara kyA KAwe hEM
267,ayAn acCA ladZakA WA,ayAn acCI #ladZakA #hE,ayAn acCI #ladZakA #hE
268,riweSa vixyAlaya meM paDawA WA,riweSa vixyAlaya meM paDawA,riweSa vixyAlaya meM paDawA
270,vaha KaragoSa ko pyAra karawA WA,usane KaragoSa #pyAra,usane KaragoSa #pyAra
271,Riwesa KaragoSa ko GAsa xewA hE,Riwesa KaragoSa ko GAsa xewA hE,Riwesa KaragoSa ko GAsa xewA hE
272,KaragoSa GAsa KAwA hE,KaragoSa GAsa KAwA hE,KaragoSa GAsa KAwA hE
273,vaha vixyAlaya meM  gayA,usane vixyAlaya jAyA,usane vixyAlaya jAyA
274,vaha Gara meM KaragoSa ko DUzDZa rahA WA ,usa Gara meM KaragoSa #DUzDZa rahA,usa Gara meM KaragoSa #DUzDZa rahA
275,KaragoSa guma gayA WA,KaragoSa #guma,KaragoSa #guma
276,riweSa ro rahA WA,riweSa ro rahA,riweSa ro rahA
277,riweSa ne KaragoSa ko xeKa,riweSa ne KaragoSa xeKA,riweSa ne KaragoSa xeKA
278,KaragoSa bagIcA meM WA,KaragoSa bagIce meM #hE,KaragoSa bagIce meM #hE
279,KaragoSa GAsa KA rahA WA ,KaragoSa GAsa KA rahA,KaragoSa GAsa KA rahA
280,riweSa ko samaJa A gayA,riweSa samaJa,riweSa samaJa
282,KaragoSa ne GAsa nahIM KAyA WA,KaragoSa ne GAsa nahIM KAI,KaragoSa ne GAsa nahIM KAI
283,merI bA muJe KAnA xewI hE ,muJe bI muJe KAnA xewI hE,muJe bI muJe KAnA xewI hE
284,KaragoSa jaMgala meM rahawA WA,KaragoSa jaMgala meM rahawA,KaragoSa jaMgala meM rahawA
286,usane eka bAra ek kaCuA ko xeKA,usane ekabAra kaCuA xeKA,usane ekabAra kaCuA xeKA
287,KaragoSa ne kaCue kI KillI udZAI,KaragoSa ne kaCuA #KillIudZA,KaragoSa ne kaCuA #KillIudZA
288,usane kaCue ko xOdZa ke lie cunOwI xI,usane kaCuA #xOdZa ko #cunOwIxe,usane kaCuA #xOdZa ko #cunOwIxe
289,kaCue ne cunOwI ko svIkAra kIyA,kaCuA ne cunOwI #svIkAra,kaCuA ne cunOwI #svIkAra
290,xOdZa SurU ho gaI,#xOdZa #SurUkara,#xOdZa #SurUkara
291,KaragoSa PurwI se BAgA,KaragoSa PurwIse BAgA,KaragoSa PurwIse BAgA
292,kaCuA XIre-XIre calA,kaCuA XIreXIre calA,kaCuA XIreXIre calA
293,KaragoSa Waka gayA,KaragoSa #WakAgayA,KaragoSa #WakAgayA
294,KaragoSa rukA,KaragoSa rukA,KaragoSa rukA
295,usane kaCuA ke lie xUra se paryavekRaNa kiyA,usa kaCue ke lie #xUra se #paryavekRaNakara,usa kaCue ke lie #xUra se #paryavekRaNakara
296,vaha kaCuA ko nahIM xeKa sakawA WA,usa kaCuA nahIM xeKa,usa kaCuA nahIM xeKa
297,KaragoSa ne socA,KaragoSa socA,KaragoSa socA
298,kaCuA XIre cala rahA hE,kaCuA XIre cala rahA hE,kaCuA XIre cala rahA hE
299,mEM ArAma kara sakawA hUz,mEM #ArAmakara hUz,mEM #ArAmakara hUz
300,KaragoSa so gayA,KaragoSa so,KaragoSa so
301,kaCuA niraMwara calawA rahA,kaCuA niraMwara #cala,kaCuA niraMwara #cala
302,KaragoSa aBI BI so rahA WA,KaragoSa aBIBI so rahA,KaragoSa aBIBI so rahA
303,kaCuA ganwavya pe pahuzca gayA,kaCuA ne #ganwavya pahuzcI,kaCuA ne #ganwavya pahuzcI
304,kaCuA xOdZa jIwa gayA,kaCuA ne #xOdZa jIwI,kaCuA ne #xOdZa jIwI
306,vaha bujurga AxamI kI sahAyawA karawA hE,usa #bujurga AxamI #sahAyawAkara hE,usa #bujurga AxamI #sahAyawAkara hE
307,usane basa+addA xeKA,usane #basaaddA xeKI,usane #basaaddA xeKI
308,vaha basa+adde para gayA,usane #basaaddA jAI,usane #basaaddA jAI
310,usane pramANa pawra xeKA,usane pramANapawra xeKA,usane pramANapawra xeKA
311,usane rAma ke kAryAlaya kI AXAraSilA raKI,usane rAma ko kAryAlaya ke lie AXAraSilA raKI,usane rAma ko kAryAlaya ke lie AXAraSilA raKI
312,Apa Sahara jAo!,#wuma Sahara #jA,#wuma Sahara #jA
313,hari ne pAnI se GadZe ko BarA,hari ne pAnI se #GadZA BarI,hari ne pAnI se #GadZA BarI
314,kyA hari ne pAnI se GadZe ko BarA,kyA hari ne pAnI se #GadZA BarI,kyA hari ne pAnI se #GadZA BarI
315,kisane pAnI se GadZe ko BarA,#kOna pAnI se #GadZA BarI,#kOna pAnI se #GadZA BarI
316,hari ne kyA GadZe meM BarA,hari ne kyA #GadZA meM BarA,hari ne kyA #GadZA meM BarA
317,wuma pAnI se GadZe ko Baro,#wuma pAnI se #GadZA #Bara,#wuma pAnI se #GadZA #Bara
